COMBUSTIBLE,CLASE,SERVICIO,DEPARTAMENTO,AÑO_REGISTRO,PESO,EJES,TOTAL_BATERIAS,DURABILIDAD_BATERIA,AÑO_REEMPLAZO,CAMBIOS_A_2050
1,1,0,3,2015,1340.0,2.0,1,9,2024,3
1,1,0,2,2015,1340.0,2.0,1,9,2024,3
1,0,0,3,2022,2177.0,2.0,1,8,2030,3
1,1,0,3,2017,690.0,2.0,1,8,2025,4
1,1,0,1,2019,1970.0,2.0,1,8,2027,3
1,0,0,3,2021,2000.0,2.0,1,9,2030,3
1,0,0,3,2022,1980.0,2.0,1,9,2031,3
1,1,0,3,2022,1815.0,2.0,1,9,2031,3
1,0,0,2,2022,2595.0,2.0,1,8,2030,3
1,1,0,3,2019,1965.0,2.0,1,8,2027,3
1,1,0,3,2022,1440.0,2.0,1,9,2031,3
1,0,1,2,2020,2190.0,2.0,1,5,2025,6
1,0,1,2,2019,2270.0,2.0,1,5,2024,6
1,1,0,12,2019,1970.0,2.0,1,9,2028,3
1,0,1,1,2021,845.0,,1,5,2026,5
1,1,0,2,2021,1965.0,2.0,1,8,2029,3
1,1,0,3,2022,1965.0,2.0,1,9,2031,3
1,1,0,3,2016,1270.0,2.0,1,9,2025,3
1,1,0,3,2021,,,1,8,2029,3
1,0,1,2,2022,3220.0,0.0,1,5,2027,5
1,1,0,2,2019,1365.0,2.0,1,9,2028,3
1,1,0,3,2021,1440.0,2.0,1,9,2030,3
1,1,0,3,2021,1440.0,2.0,1,8,2029,3
1,1,0,3,2019,1988.0,2.0,1,9,2028,3
1,1,0,3,2016,690.0,2.0,1,9,2025,3
1,1,0,1,2021,1988.0,2.0,1,9,2030,3
1,0,0,3,2022,,0.0,1,8,2030,3
1,0,0,3,2021,1966.0,2.0,1,8,2029,3
1,1,0,3,2019,1965.0,2.0,1,9,2028,3
1,0,0,3,2021,2650.0,2.0,1,9,2030,3
1,0,1,1,2022,2550.0,,1,5,2027,5
1,1,0,3,2016,1270.0,2.0,1,9,2025,3
1,1,0,3,2019,1365.0,2.0,1,8,2027,3
1,1,0,3,2018,1320.0,2.0,1,8,2026,4
1,1,0,3,2022,1365.0,2.0,1,9,2031,3
1,0,0,3,2022,1980.0,2.0,1,8,2030,3
1,0,1,3,2017,2870.0,2.0,1,5,2022,6
1,0,0,3,2022,2360.0,2.0,1,9,2031,3
1,0,0,3,2022,2595.0,2.0,1,9,2031,3
1,1,0,3,2019,1965.0,2.0,1,8,2027,3
1,1,1,3,2013,0.0,2.0,1,5,2018,7
1,0,1,1,2022,4495.0,2.0,1,5,2027,5
1,1,0,15,2016,1340.0,2.0,1,9,2025,3
1,0,0,3,2022,2065.0,2.0,1,9,2031,3
1,1,0,3,2018,1965.0,2.0,1,9,2027,3
1,1,0,3,2019,1988.0,2.0,1,8,2027,3
1,1,0,3,2022,140.0,2.0,1,9,2031,3
1,0,0,2,2022,1980.0,2.0,1,9,2031,3
1,0,0,2,2022,,,1,8,2030,3
